time,q1,q2,q3,q4,q5,q6,q7
0.78,-7.34289e-07,0.174233,1.74926e-06,-0.0691938,2.6622e-06,0.242711,3.72833e-06
0.79,-7.39123e-07,0.176023,1.76607e-06,-0.0707934,2.69096e-06,0.246107,3.77055e-06
0.8,-7.43956e-07,0.177813,1.78287e-06,-0.072393,2.71973e-06,0.249503,3.81278e-06
0.81,-7.48937e-07,0.179603,1.79961e-06,-0.0739922,2.74842e-06,0.252898,3.85472e-06
0.82,-7.53918e-07,0.181393,1.81635e-06,-0.0755915,2.77711e-06,0.256294,3.89666e-06
0.83,-7.58272e-07,0.183143,1.83247e-06,-0.0772492,2.80517e-06,0.25971,3.93808e-06
0.84,-7.62625e-07,0.184894,1.84859e-06,-0.0789069,2.83323e-06,0.263126,3.97951e-06
0.85,-7.67111e-07,0.186644,1.86471e-06,-0.0805643,2.86131e-06,0.266542,4.02083e-06
0.86,-7.71441e-07,0.188386,1.88024e-06,-0.0822355,2.88851e-06,0.269963,4.06082e-06
0.87,-7.75771e-07,0.190127,1.89577e-06,-0.0839066,2.91571e-06,0.273384,4.10082e-06
0.88,-7.79524e-07,0.191829,1.91108e-06,-0.0856336,2.9429e-06,0.276824,4.14128e-06
0.89,-7.83306e-07,0.193523,1.92637e-06,-0.0873736,2.97018e-06,0.280268,4.18184e-06
0.9,-7.87089e-07,0.195216,1.94165e-06,-0.0891135,2.99746e-06,0.283713,4.2224e-06
0.91,-7.90594e-07,0.196891,1.95639e-06,-0.0908796,3.02398e-06,0.287166,4.26195e-06
0.92,-7.941e-07,0.198566,1.97112e-06,-0.0926457,3.05049e-06,0.290619,4.30149e-06
0.93,-7.97407e-07,0.200223,1.98563e-06,-0.0944373,3.07681e-06,0.29408,4.34087e-06
0.94,-8.00763e-07,0.20188,2.00015e-06,-0.0962285,3.10316e-06,0.297542,4.38025e-06
0.95,-8.04119e-07,0.203537,2.01466e-06,-0.0980198,3.1295e-06,0.301003,4.41962e-06
0.96,-8.07143e-07,0.205167,2.02888e-06,-0.0998484,3.1556e-06,0.304476,4.45887e-06
0.97,-8.10167e-07,0.206798,2.0431e-06,-0.101677,3.18169e-06,0.30795,4.49812e-06
0.98,-8.13025e-07,0.20841,2.05726e-06,-0.103529,3.20787e-06,0.311431,4.53764e-06
0.99,-8.15759e-07,0.210015,2.07117e-06,-0.105392,3.23369e-06,0.314915,4.5767e-06
1,-8.18493e-07,0.211619,2.08508e-06,-0.107256,3.25951e-06,0.318399,4.61576e-06
1.01,-8.2099e-07,0.213207,2.0985e-06,-0.109142,3.28461e-06,0.32189,4.65387e-06
1.02,-8.23486e-07,0.214795,2.11192e-06,-0.111028,3.30971e-06,0.325382,4.69198e-06
1.03,-8.25963e-07,0.216383,2.12531e-06,-0.112914,3.33474e-06,0.328873,4.73001e-06
1.04,-8.28201e-07,0.217946,2.13871e-06,-0.114832,3.36006e-06,0.332373,4.76871e-06
1.05,-8.3044e-07,0.219509,2.15211e-06,-0.116751,3.38538e-06,0.335874,4.8074e-06
1.06,-8.32447e-07,0.221056,2.16529e-06,-0.11869,3.41045e-06,0.339381,4.84593e-06
1.07,-8.34454e-07,0.222604,2.17847e-06,-0.120629,3.43552e-06,0.342887,4.88446e-06
1.08,-8.36262e-07,0.224135,2.19152e-06,-0.122587,3.46051e-06,0.346399,4.92306e-06
1.09,-8.37993e-07,0.225667,2.20457e-06,-0.124546,3.48546e-06,0.349911,4.96167e-06
1.1,-8.39724e-07,0.227199,2.21762e-06,-0.126504,3.51041e-06,0.353423,5.00029e-06
1.11,-8.41218e-07,0.228724,2.23022e-06,-0.128472,3.53456e-06,0.356938,5.03788e-06
1.12,-8.42711e-07,0.230248,2.24282e-06,-0.13044,3.55871e-06,0.360452,5.07548e-06
1.13,-8.44018e-07,0.231743,2.25545e-06,-0.132445,3.58326e-06,0.363976,5.11387e-06
1.14,-8.45176e-07,0.233238,2.26821e-06,-0.134449,3.608e-06,0.3675,5.15276e-06
